priority_rank,date_key,store_id,store_name,city_id,sku_id,sku_name,category,risk_score,risk_level,hours_to_stockout,days_of_cover,current_closing_stock,projected_inventory,reorder_point,target_stock,recommended_quantity,case_pack_size,lost_sales_exposure,reason,action
19,20260629,14,DEL_DS_04,2,169,STAP_EDIB_19,Staples,82,Critical,6.1,0.34,9,9,114,220,12,12,8246.95,Projected inventory (9) breached ROP (114). Target: 220. Scaled down to respect dark store physical capacity buffer.,Immediate Replenishment
20,20260629,19,DEL_DS_09,2,66,SNAC_CHIP_06,Snacks,82,Critical,5.4,0.3,24,24,80,594,72,8,3629.31,Projected inventory (24) breached ROP (80). Target: 594. Scaled down to respect dark store physical capacity buffer.,Immediate Replenishment
21,20260629,8,BEN_DS_08,1,65,SNAC_NUTS_05,Snacks,81,Critical,5.9,0.33,21,21,130,482,480,24,8583.24,Projected inventory (21) breached ROP (130). Target: 482.,Immediate Replenishment
22,20260629,35,HYD_DS_05,4,191,PERS_SOAP_11,Personal Care,81,Critical,1.6,0.09,1,1,19,88,96,24,2113.86,Projected inventory (1) breached ROP (19). Target: 88.,Immediate Replenishment
23,20260629,9,BEN_DS_09,1,267,BABY_BABY_27,Baby Care,80,Critical,5.8,0.32,8,8,51,201,204,12,5184.98,Projected inventory (8) breached ROP (51). Target: 201.,Immediate Replenishment
24,20260629,22,MUM_DS_02,3,84,SNAC_CHOC_24,Snacks,78,High,2.7,0.15,8,8,43,394,408,24,2304.97,Projected inventory (8) breached ROP (43). Target: 394.,Scheduled Replenishment
25,20260629,21,MUM_DS_01,3,166,STAP_ATTA_16,Staples,76,High,7.4,0.41,10,10,121,194,192,12,6114.49,Projected inventory (10) breached ROP (121). Target: 194.,Scheduled Replenishment
26,20260629,29,MUM_DS_09,3,158,STAP_DALS_08,Staples,76,High,5.9,0.33,12,12,135,283,276,6,2412.49,Projected inventory (12) breached ROP (135). Target: 283.,Scheduled Replenishment
27,20260629,29,MUM_DS_09,3,41,BEVE_JUIC_11,Beverages,73,High,6.8,0.38,26,26,252,529,504,24,7237.98,Projected inventory (26) breached ROP (252). Target: 529.,Scheduled Replenishment
28,20260629,22,MUM_DS_02,3,36,BEVE_JUIC_06,Beverages,73,High,17.6,0.98,65,65,198,561,498,6,6424.44,Projected inventory (65) breached ROP (198). Target: 561.,Scheduled Replenishment
29,20260629,39,HYD_DS_09,4,237,HOUS_DISH_27,Household,73,High,4.5,0.25,2,2,13,61,60,4,1899.39,Projected inventory (2) breached ROP (13). Target: 61.,Scheduled Replenishment
30,20260629,16,DEL_DS_06,2,50,BEVE_WATE_20,Beverages,72,High,13.9,0.77,42,42,259,477,438,6,6474.63,Projected inventory (42) breached ROP (259). Target: 477.,Scheduled Replenishment
31,20260629,29,MUM_DS_09,3,214,HOUS_DISP_04,Household,72,High,5.8,0.32,4,4,48,98,96,8,2719.77,Projected inventory (4) breached ROP (48). Target: 98.,Scheduled Replenishment
32,20260629,39,HYD_DS_09,4,196,PERS_SOAP_16,Personal Care,72,High,6.1,0.34,2,2,11,47,96,24,556.11,Projected inventory (2) breached ROP (11). Target: 47.,Scheduled Replenishment
33,20260629,35,HYD_DS_05,4,117,PACK_PAST_27,Packaged Foods,71,High,5.8,0.32,10,10,62,236,228,12,4838.39,Projected inventory (10) breached ROP (62). Target: 236.,Scheduled Replenishment
34,20260629,17,DEL_DS_07,2,91,PACK_NOOD_01,Packaged Foods,71,High,7.7,0.43,8,8,40,142,144,24,4443.33,Projected inventory (8) breached ROP (40). Target: 142.,Scheduled Replenishment
35,20260629,23,MUM_DS_03,3,119,PACK_BREA_29,Packaged Foods,71,High,7.7,0.43,12,12,103,216,204,12,3314.68,Projected inventory (12) breached ROP (103). Target: 216.,Scheduled Replenishment
36,20260629,25,MUM_DS_05,3,194,PERS_SKIN_14,Personal Care,70,High,4.9,0.27,3,3,29,84,84,6,4068.44,Projected inventory (3) breached ROP (29). Target: 84.,Scheduled Replenishment
37,20260629,40,HYD_DS_10,4,107,PACK_PAST_17,Packaged Foods,70,High,15.5,0.86,26,26,145,265,240,12,1817.74,Projected inventory (26) breached ROP (145). Target: 265.,Scheduled Replenishment
38,20260629,23,MUM_DS_03,3,35,BEVE_WATE_05,Beverages,69,High,18.2,1.01,75,75,318,614,540,12,11730.47,Projected inventory (75) breached ROP (318). Target: 614.,Scheduled Replenishment
39,20260629,10,BEN_DS_10,1,290,PET _PET _20,Pet Care,69,High,10.1,0.56,3,3,18,45,48,8,1287.47,Projected inventory (3) breached ROP (18). Target: 45.,Scheduled Replenishment
40,20260629,10,BEN_DS_10,1,273,PET _PET _03,Pet Care,69,High,7.9,0.44,2,2,22,36,40,8,1153.75,Projected inventory (2) breached ROP (22). Target: 36.,Scheduled Replenishment
41,20260629,19,DEL_DS_09,2,162,STAP_RICE_12,Staples,68,High,9.5,0.53,21,21,189,309,12,12,7387.85,Projected inventory (21) breached ROP (189). Target: 309. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
42,20260629,39,HYD_DS_09,4,127,FRUI_EXOT_07,Fruits & Vegetables,68,High,8.8,0.49,27,27,108,410,384,24,6416.97,Projected inventory (27) breached ROP (108). Target: 410.,Scheduled Replenishment
43,20260629,26,MUM_DS_06,3,218,HOUS_CLEA_08,Household,68,High,9.5,0.53,3,3,29,46,48,6,409.01,Projected inventory (3) breached ROP (29). Target: 46.,Scheduled Replenishment
44,20260629,14,DEL_DS_04,2,156,STAP_ATTA_06,Staples,66,High,11.0,0.61,20,20,158,257,12,12,11297.55,Projected inventory (20) breached ROP (158). Target: 257. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
45,20260629,38,HYD_DS_08,4,49,BEVE_ENER_19,Beverages,66,High,12.8,0.71,44,44,154,495,456,12,2622.6,Projected inventory (44) breached ROP (154). Target: 495.,Scheduled Replenishment
46,20260629,21,MUM_DS_01,3,32,BEVE_COLD_02,Beverages,65,High,14.4,0.8,88,88,140,855,768,8,11192.5,Projected inventory (88) breached ROP (140). Target: 855.,Scheduled Replenishment
47,20260629,10,BEN_DS_10,1,137,FRUI_EXOT_17,Fruits & Vegetables,65,High,9.7,0.54,54,54,165,767,720,12,2558.18,Projected inventory (54) breached ROP (165). Target: 767.,Scheduled Replenishment
48,20260629,23,MUM_DS_03,3,216,HOUS_DETE_06,Household,65,High,9.5,0.53,6,6,56,90,96,24,2365.83,Projected inventory (6) breached ROP (56). Target: 90.,Scheduled Replenishment
49,20260629,14,DEL_DS_04,2,221,HOUS_DETE_11,Household,65,High,10.6,0.59,4,4,28,55,8,8,1423.18,Projected inventory (4) breached ROP (28). Target: 55. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
50,20260629,14,DEL_DS_04,2,274,PET _PET _04,Pet Care,64,High,9.5,0.53,5,5,46,74,12,12,2041.7,Projected inventory (5) breached ROP (46). Target: 74. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
51,20260629,23,MUM_DS_03,3,73,SNAC_NAMK_13,Snacks,63,High,10.4,0.58,53,53,335,703,672,24,8469.51,Projected inventory (53) breached ROP (335). Target: 703.,Scheduled Replenishment
52,20260629,9,BEN_DS_09,1,75,SNAC_NUTS_15,Snacks,63,High,17.3,0.96,40,40,181,347,312,24,3583.31,Projected inventory (40) breached ROP (181). Target: 347.,Scheduled Replenishment
53,20260629,21,MUM_DS_01,3,116,PACK_NOOD_26,Packaged Foods,63,High,9.7,0.54,22,22,65,311,296,8,3559.27,Projected inventory (22) breached ROP (65). Target: 311.,Scheduled Replenishment
54,20260629,23,MUM_DS_03,3,61,SNAC_CHIP_01,Snacks,63,High,13.9,0.77,62,62,298,620,576,24,1826.47,Projected inventory (62) breached ROP (298). Target: 620.,Scheduled Replenishment
55,20260629,16,DEL_DS_06,2,135,FRUI_CUT _15,Fruits & Vegetables,62,High,11.3,0.63,47,47,278,578,532,4,8417.18,Projected inventory (47) breached ROP (278). Target: 578.,Scheduled Replenishment
56,20260629,22,MUM_DS_02,3,139,FRUI_SEAS_19,Fruits & Vegetables,62,High,11.7,0.65,62,62,355,738,680,8,7907.46,Projected inventory (62) breached ROP (355). Target: 738.,Scheduled Replenishment
57,20260629,14,DEL_DS_04,2,11,DAIR_MILK_11,Dairy,61,High,21.8,1.21,80,80,311,577,8,8,14247.05,Projected inventory (80) breached ROP (311). Target: 577. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
58,20260629,29,MUM_DS_09,3,29,DAIR_CHEE_29,Dairy,61,High,8.1,0.45,23,23,73,377,360,8,11635.41,Projected inventory (23) breached ROP (73). Target: 377.,Scheduled Replenishment
59,20260629,23,MUM_DS_03,3,51,BEVE_JUIC_21,Beverages,61,High,9.9,0.55,29,29,134,397,368,4,4325.48,Projected inventory (29) breached ROP (134). Target: 397.,Scheduled Replenishment
60,20260629,10,BEN_DS_10,1,136,FRUI_FRES_16,Fruits & Vegetables,61,High,6.8,0.38,14,14,51,273,260,4,3885.22,Projected inventory (14) breached ROP (51). Target: 273.,Scheduled Replenishment
61,20260629,1,BEN_DS_01,1,66,SNAC_CHIP_06,Snacks,61,High,7.2,0.4,26,26,52,470,448,8,2950.91,Projected inventory (26) breached ROP (52). Target: 470.,Scheduled Replenishment
62,20260629,38,HYD_DS_08,4,272,PET _CAT _02,Pet Care,61,High,19.4,1.08,5,5,24,43,42,6,2641.74,Projected inventory (5) breached ROP (24). Target: 43.,Scheduled Replenishment
63,20260629,4,BEN_DS_04,1,250,BABY_BABY_10,Baby Care,61,High,24.7,1.37,36,36,164,243,216,12,0.0,Projected inventory (36) breached ROP (164). Target: 243.,Scheduled Replenishment
64,20260629,29,MUM_DS_09,3,51,BEVE_JUIC_21,Beverages,60,High,11.0,0.61,33,33,142,413,380,4,4472.32,Projected inventory (33) breached ROP (142). Target: 413.,Scheduled Replenishment
65,20260629,21,MUM_DS_01,3,289,PET _PET _19,Pet Care,60,High,12.1,0.67,6,6,44,71,96,24,4311.54,Projected inventory (6) breached ROP (44). Target: 71.,Scheduled Replenishment
66,20260629,28,MUM_DS_08,3,266,BABY_BABY_26,Baby Care,60,High,10.8,0.6,10,10,44,126,120,24,1758.57,Projected inventory (10) breached ROP (44). Target: 126.,Scheduled Replenishment
67,20260629,3,BEN_DS_03,1,173,STAP_DALS_23,Staples,59,Medium,14.9,0.83,17,17,101,162,168,24,1420.56,Projected inventory (17) breached ROP (101). Target: 162.,Scheduled Replenishment
68,20260629,4,BEN_DS_04,1,198,PERS_ORAL_18,Personal Care,59,Medium,9.4,0.52,6,6,19,88,84,4,592.3,Projected inventory (6) breached ROP (19). Target: 88.,Scheduled Replenishment
69,20260629,21,MUM_DS_01,3,187,PERS_HAIR_07,Personal Care,57,Medium,12.6,0.7,5,5,28,56,60,12,2436.24,Projected inventory (5) breached ROP (28). Target: 56.,Scheduled Replenishment
70,20260629,3,BEN_DS_03,1,256,BABY_BABY_16,Baby Care,56,Medium,22.1,1.23,44,44,157,299,264,24,15779.53,Projected inventory (44) breached ROP (157). Target: 299.,Scheduled Replenishment
71,20260629,9,BEN_DS_09,1,129,FRUI_SEAS_09,Fruits & Vegetables,56,Medium,10.8,0.6,24,24,56,296,276,12,2935.25,Projected inventory (24) breached ROP (56). Target: 296.,Scheduled Replenishment
72,20260629,21,MUM_DS_01,3,121,FRUI_FRES_01,Fruits & Vegetables,56,Medium,12.6,0.7,50,50,142,532,488,8,1901.63,Projected inventory (50) breached ROP (142). Target: 532.,Scheduled Replenishment
73,20260629,25,MUM_DS_05,3,121,FRUI_FRES_01,Fruits & Vegetables,56,Medium,27.4,1.52,127,127,242,700,576,8,0.0,Projected inventory (127) breached ROP (242). Target: 700.,Scheduled Replenishment
74,20260629,23,MUM_DS_03,3,250,BABY_BABY_10,Baby Care,54,Medium,15.5,0.86,24,24,133,217,204,12,5713.96,Projected inventory (24) breached ROP (133). Target: 217.,Scheduled Replenishment
75,20260629,40,HYD_DS_10,4,214,HOUS_DISP_04,Household,54,Medium,14.9,0.83,9,9,43,87,80,8,2349.78,Projected inventory (9) breached ROP (43). Target: 87.,Scheduled Replenishment
76,20260629,2,BEN_DS_02,1,199,PERS_SKIN_19,Personal Care,54,Medium,17.3,0.96,5,5,27,43,40,8,1310.42,Projected inventory (5) breached ROP (27). Target: 43.,Scheduled Replenishment
77,20260629,7,BEN_DS_07,1,73,SNAC_NAMK_13,Snacks,54,Medium,29.9,1.66,167,167,519,922,768,24,0.0,Projected inventory (167) breached ROP (519). Target: 922.,Scheduled Replenishment
78,20260629,25,MUM_DS_05,3,286,PET _PET _16,Pet Care,53,Medium,17.5,0.97,8,8,42,67,72,24,3750.57,Projected inventory (8) breached ROP (42). Target: 67.,Scheduled Replenishment
79,20260629,16,DEL_DS_06,2,219,HOUS_DISP_09,Household,53,Medium,12.8,0.71,10,10,53,109,120,24,3465.44,Projected inventory (10) breached ROP (53). Target: 109.,Scheduled Replenishment
80,20260629,40,HYD_DS_10,4,141,FRUI_FRES_21,Fruits & Vegetables,53,Medium,9.9,0.55,33,33,86,448,416,4,1176.42,Projected inventory (33) breached ROP (86). Target: 448.,Scheduled Replenishment
81,20260629,40,HYD_DS_10,4,290,PET _PET _20,Pet Care,51,Medium,15.3,0.85,4,4,14,37,40,8,1131.34,Projected inventory (4) breached ROP (14). Target: 37.,Scheduled Replenishment
82,20260629,17,DEL_DS_07,2,10,DAIR_PANE_10,Dairy,50,Medium,9.0,0.5,30,30,48,441,416,8,6296.81,Projected inventory (30) breached ROP (48). Target: 441.,Scheduled Replenishment
83,20260629,3,BEN_DS_03,1,27,DAIR_CURD_27,Dairy,50,Medium,15.8,0.88,53,53,223,464,412,4,6237.0,Projected inventory (53) breached ROP (223). Target: 464.,Scheduled Replenishment
84,20260629,39,HYD_DS_09,4,274,PET _PET _04,Pet Care,50,Medium,18.4,1.02,9,9,45,72,72,12,1932.63,Projected inventory (9) breached ROP (45). Target: 72.,Scheduled Replenishment
85,20260629,10,BEN_DS_10,1,220,HOUS_REPE_10,Household,50,Medium,16.9,0.94,7,7,30,60,60,12,1903.05,Projected inventory (7) breached ROP (30). Target: 60.,Scheduled Replenishment
86,20260629,26,MUM_DS_06,3,207,PERS_HAIR_27,Personal Care,50,Medium,17.3,0.96,5,5,21,42,42,6,834.69,Projected inventory (5) breached ROP (21). Target: 42.,Scheduled Replenishment
87,20260629,22,MUM_DS_02,3,249,BABY_DIAP_09,Baby Care,49,Medium,13.3,0.74,21,21,72,214,200,8,14151.22,Projected inventory (21) breached ROP (72). Target: 214.,Scheduled Replenishment
88,20260629,26,MUM_DS_06,3,189,PERS_SKIN_09,Personal Care,49,Medium,13.0,0.72,8,8,30,85,78,6,1379.1,Projected inventory (8) breached ROP (30). Target: 85.,Scheduled Replenishment
89,20260629,34,HYD_DS_04,4,213,HOUS_CLEA_03,Household,49,Medium,24.5,1.36,7,7,24,44,42,6,0.0,Projected inventory (7) breached ROP (24). Target: 44.,Scheduled Replenishment
90,20260629,28,MUM_DS_08,3,252,BABY_BABY_12,Baby Care,48,Medium,19.1,1.06,35,35,160,259,224,4,19883.01,Projected inventory (35) breached ROP (160). Target: 259.,Scheduled Replenishment
91,20260629,6,BEN_DS_06,1,149,FRUI_SEAS_29,Fruits & Vegetables,48,Medium,13.3,0.74,34,34,93,346,312,24,4768.52,Projected inventory (34) breached ROP (93). Target: 346.,Scheduled Replenishment
92,20260629,7,BEN_DS_07,1,275,PET _DOG _05,Pet Care,48,Medium,14.6,0.81,8,8,37,77,72,8,3546.74,Projected inventory (8) breached ROP (37). Target: 77.,Scheduled Replenishment
93,20260629,28,MUM_DS_08,3,224,HOUS_DISP_14,Household,48,Medium,29.9,1.66,21,21,65,116,96,8,0.0,Projected inventory (21) breached ROP (65). Target: 116.,Scheduled Replenishment
94,20260629,26,MUM_DS_06,3,4,DAIR_CHEE_04,Dairy,46,Medium,18.4,1.02,86,86,219,642,556,4,5391.7,Projected inventory (86) breached ROP (219). Target: 642.,Scheduled Replenishment
95,20260629,16,DEL_DS_06,2,126,FRUI_FRES_06,Fruits & Vegetables,45,Medium,21.1,1.17,81,81,258,535,456,8,4484.82,Projected inventory (81) breached ROP (258). Target: 535.,Scheduled Replenishment
96,20260629,23,MUM_DS_03,3,26,DAIR_MILK_26,Dairy,45,Medium,17.3,0.96,49,49,188,392,348,6,3994.18,Projected inventory (49) breached ROP (188). Target: 392.,Scheduled Replenishment
97,20260629,22,MUM_DS_02,3,268,BABY_BABY_28,Baby Care,45,Medium,18.7,1.04,24,24,63,178,160,8,2973.67,Projected inventory (24) breached ROP (63). Target: 178.,Scheduled Replenishment
98,20260629,29,MUM_DS_09,3,140,FRUI_CUT _20,Fruits & Vegetables,44,Medium,22.3,1.24,66,66,102,420,360,8,2897.09,Projected inventory (66) breached ROP (102). Target: 420.,Scheduled Replenishment
99,20260629,22,MUM_DS_02,3,234,HOUS_DISP_24,Household,44,Medium,17.1,0.95,10,10,40,82,72,6,579.76,Projected inventory (10) breached ROP (40). Target: 82.,Scheduled Replenishment
100,20260629,9,BEN_DS_09,1,34,BEVE_ENER_04,Beverages,43,Medium,10.6,0.59,32,32,44,397,366,6,3387.7,Projected inventory (32) breached ROP (44). Target: 397.,Scheduled Replenishment
101,20260629,3,BEN_DS_03,1,66,SNAC_CHIP_06,Snacks,43,Medium,11.0,0.61,39,39,49,464,432,8,2927.96,Projected inventory (39) breached ROP (49). Target: 464.,Scheduled Replenishment
102,20260629,1,BEN_DS_01,1,282,PET _PET _12,Pet Care,43,Medium,22.9,1.27,7,7,23,45,48,24,2081.31,Projected inventory (7) breached ROP (23). Target: 45.,Scheduled Replenishment
103,20260629,3,BEN_DS_03,1,212,HOUS_DISH_02,Household,43,Medium,16.2,0.9,8,8,24,69,48,24,1315.36,Projected inventory (8) breached ROP (24). Target: 69. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
104,20260629,29,MUM_DS_09,3,239,HOUS_DISP_29,Household,43,Medium,15.5,0.86,4,4,8,36,36,6,594.8,Projected inventory (4) breached ROP (8). Target: 36.,Scheduled Replenishment
105,20260629,34,HYD_DS_04,4,263,BABY_BABY_23,Baby Care,43,Medium,32.2,1.79,40,40,80,192,152,4,0.0,Projected inventory (40) breached ROP (80). Target: 192.,Scheduled Replenishment
106,20260629,40,HYD_DS_10,4,19,DAIR_CHEE_19,Dairy,42,Medium,18.7,1.04,83,83,295,615,552,24,15184.93,Projected inventory (83) breached ROP (295). Target: 615.,Scheduled Replenishment
107,20260629,16,DEL_DS_06,2,102,PACK_PAST_12,Packaged Foods,42,Medium,22.9,1.27,55,55,83,343,288,12,4460.17,Projected inventory (55) breached ROP (83). Target: 343.,Scheduled Replenishment
108,20260629,16,DEL_DS_06,2,177,STAP_RICE_27,Staples,42,Medium,17.1,0.95,27,27,74,216,192,4,3232.47,Projected inventory (27) breached ROP (74). Target: 216.,Scheduled Replenishment
109,20260629,25,MUM_DS_05,3,233,HOUS_CLEA_23,Household,42,Medium,18.4,1.02,13,13,62,100,90,6,2071.08,Projected inventory (13) breached ROP (62). Target: 100.,Scheduled Replenishment
110,20260629,26,MUM_DS_06,3,125,FRUI_CUT _05,Fruits & Vegetables,42,Medium,14.6,0.81,33,33,58,301,272,8,2055.28,Projected inventory (33) breached ROP (58). Target: 301.,Scheduled Replenishment
111,20260629,18,DEL_DS_08,2,28,DAIR_BUTT_28,Dairy,42,Medium,31.0,1.72,83,83,165,407,336,24,0.0,Projected inventory (83) breached ROP (165). Target: 407.,Scheduled Replenishment
112,20260629,6,BEN_DS_06,1,75,SNAC_NUTS_15,Snacks,42,Medium,39.2,2.18,80,80,188,335,264,24,0.0,Projected inventory (80) breached ROP (188). Target: 335.,Scheduled Replenishment
113,20260629,22,MUM_DS_02,3,16,DAIR_MILK_16,Dairy,41,Medium,18.5,1.03,58,58,207,433,384,12,7775.49,Projected inventory (58) breached ROP (207). Target: 433.,Scheduled Replenishment
114,20260629,29,MUM_DS_09,3,143,FRUI_DAIL_23,Fruits & Vegetables,41,Medium,19.4,1.08,113,113,387,805,696,24,5053.87,Projected inventory (113) breached ROP (387). Target: 805.,Scheduled Replenishment
115,20260629,16,DEL_DS_06,2,99,PACK_BREA_09,Packaged Foods,41,Medium,14.4,0.8,15,15,28,142,128,4,2950.08,Projected inventory (15) breached ROP (28). Target: 142.,Scheduled Replenishment
116,20260629,29,MUM_DS_09,3,215,HOUS_REPE_05,Household,41,Medium,14.4,0.8,10,10,32,95,88,4,865.38,Projected inventory (10) breached ROP (32). Target: 95.,Scheduled Replenishment
117,20260629,26,MUM_DS_06,3,205,PERS_SANI_25,Personal Care,41,Medium,18.0,1.0,4,4,11,31,36,12,522.52,Projected inventory (4) breached ROP (11). Target: 31.,Scheduled Replenishment
118,20260629,22,MUM_DS_02,3,18,DAIR_BUTT_18,Dairy,40,Medium,14.2,0.79,38,38,95,361,324,6,9814.46,Projected inventory (38) breached ROP (95). Target: 361.,Scheduled Replenishment
119,20260629,7,BEN_DS_07,1,146,FRUI_FRES_26,Fruits & Vegetables,40,Medium,8.6,0.48,24,24,38,363,360,24,1753.0,Projected inventory (24) breached ROP (38). Target: 363.,Scheduled Replenishment
120,20260629,39,HYD_DS_09,4,294,PET _PET _24,Pet Care,40,Medium,22.9,1.27,5,5,16,32,32,8,303.16,Projected inventory (5) breached ROP (16). Target: 32.,Scheduled Replenishment
121,20260629,22,MUM_DS_02,3,189,PERS_SKIN_09,Personal Care,39,Medium,24.8,1.38,20,20,45,118,102,6,0.0,Projected inventory (20) breached ROP (45). Target: 118.,Scheduled Replenishment
122,20260629,2,BEN_DS_02,1,259,BABY_BABY_19,Baby Care,38,Medium,18.9,1.05,17,17,43,124,108,12,5865.26,Projected inventory (17) breached ROP (43). Target: 124.,Scheduled Replenishment
123,20260629,8,BEN_DS_08,1,276,PET _CAT _06,Pet Care,38,Medium,23.2,1.29,8,8,31,50,48,12,2606.21,Projected inventory (8) breached ROP (31). Target: 50.,Scheduled Replenishment
124,20260629,22,MUM_DS_02,3,121,FRUI_FRES_01,Fruits & Vegetables,38,Medium,20.0,1.11,91,91,159,609,520,8,2192.79,Projected inventory (91) breached ROP (159). Target: 609.,Scheduled Replenishment
125,20260629,7,BEN_DS_07,1,101,PACK_NOOD_11,Packaged Foods,38,Medium,29.5,1.64,75,75,144,374,300,6,0.0,Projected inventory (75) breached ROP (144). Target: 374.,Scheduled Replenishment
126,20260629,10,BEN_DS_10,1,128,FRUI_DAIL_08,Fruits & Vegetables,37,Medium,21.1,1.17,53,53,92,340,288,24,4574.04,Projected inventory (53) breached ROP (92). Target: 340.,Scheduled Replenishment
127,20260629,40,HYD_DS_10,4,7,DAIR_CURD_07,Dairy,37,Medium,26.3,1.46,131,131,160,698,576,24,0.0,Projected inventory (131) breached ROP (160). Target: 698.,Scheduled Replenishment
128,20260629,10,BEN_DS_10,1,248,BABY_BABY_08,Baby Care,36,Medium,19.8,1.1,28,28,68,195,168,6,12162.37,Projected inventory (28) breached ROP (68). Target: 195.,Scheduled Replenishment
129,20260629,26,MUM_DS_06,3,8,DAIR_BUTT_08,Dairy,36,Medium,23.8,1.32,111,111,309,645,536,4,11634.88,Projected inventory (111) breached ROP (309). Target: 645.,Scheduled Replenishment
130,20260629,22,MUM_DS_02,3,1,DAIR_MILK_01,Dairy,36,Medium,21.8,1.21,114,114,135,700,592,8,8971.62,Projected inventory (114) breached ROP (135). Target: 700.,Scheduled Replenishment
131,20260629,29,MUM_DS_09,3,5,DAIR_PANE_05,Dairy,36,Medium,23.2,1.29,62,62,68,356,296,8,4529.97,Projected inventory (62) breached ROP (68). Target: 356.,Scheduled Replenishment
