transfer_id,city_id,source_store_id,source_store_name,destination_store_id,destination_store_name,sku_id,sku_name,category,recommended_quantity,source_doc_before,source_doc_after,destination_doc_before,destination_doc_after,destination_risk_score,hours_to_stockout,transfer_distance_km,transfer_cost,projected_source_stock,projected_destination_stock,estimated_lost_sales_avoided,reason
25,3,25,MUM_DS_05,29,MUM_DS_09,158,STAP_DALS_08,Staples,30,4.27,3.29,0.33,1.14,76,5.9,4.46,26.69,101,42,1963.5,Destination projected to breach safety stock within 5.9h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 4.5km within configured limit.
26,3,25,MUM_DS_05,29,MUM_DS_09,41,BEVE_JUIC_11,Beverages,144,5.87,3.52,0.38,2.46,73,6.8,4.46,26.69,215,170,14536.62,Destination projected to breach safety stock within 6.8h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.5km within configured limit.
27,3,23,MUM_DS_03,22,MUM_DS_02,36,BEVE_JUIC_06,Beverages,54,4.06,2.99,0.98,1.8,73,17.6,5.8,28.7,152,119,5256.36,Destination projected to breach safety stock within 17.6h (DoC: 1.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 5.8km within configured limit.
28,4,34,HYD_DS_04,39,HYD_DS_09,237,HOUS_DISH_27,Household,20,6.17,3.16,0.25,2.77,73,4.5,2.24,23.36,21,22,3832.32,Destination projected to breach safety stock within 4.5h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 2.2km within configured limit.
29,2,15,DEL_DS_05,16,DEL_DS_06,50,BEVE_WATE_20,Beverages,84,5.81,3.24,0.77,2.32,72,13.9,4.65,26.98,106,126,10017.84,Destination projected to breach safety stock within 13.9h (DoC: 0.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 4.7km within configured limit.
30,3,21,MUM_DS_01,29,MUM_DS_09,214,HOUS_DISP_04,Household,40,8.03,4.61,0.32,3.5,72,5.8,7.23,30.85,54,44,5625.62,Destination projected to breach safety stock within 5.8h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.6d). Distance is 7.2km within configured limit.
31,4,33,HYD_DS_03,35,HYD_DS_05,117,PACK_PAST_27,Packaged Foods,36,5.07,3.38,0.32,1.45,71,5.8,2.64,23.95,72,46,5505.12,Destination projected to breach safety stock within 5.8h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 2.6km within configured limit.
32,2,19,DEL_DS_09,17,DEL_DS_07,91,PACK_NOOD_01,Packaged Foods,48,13.15,10.43,0.43,3.03,71,7.7,4.44,26.65,184,56,8886.66,Destination projected to breach safety stock within 7.7h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 10.4d). Distance is 4.4km within configured limit.
33,3,24,MUM_DS_04,23,MUM_DS_03,119,PACK_BREA_29,Packaged Foods,84,11.23,7.08,0.43,3.4,71,7.7,0.92,21.38,143,96,6697.5,Destination projected to breach safety stock within 7.7h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.1d). Distance is 0.9km within configured limit.
34,3,29,MUM_DS_09,25,MUM_DS_05,194,PERS_SKIN_14,Personal Care,24,5.19,3.21,0.27,2.42,70,4.9,4.46,26.69,39,27,8399.83,Destination projected to breach safety stock within 4.9h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 4.5km within configured limit.
35,4,37,HYD_DS_07,40,HYD_DS_10,107,PACK_PAST_17,Packaged Foods,72,16.24,12.58,0.86,3.25,70,15.5,6.03,29.05,247,98,3678.91,Destination projected to breach safety stock within 15.5h (DoC: 0.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.6d). Distance is 6.0km within configured limit.
36,3,26,MUM_DS_06,23,MUM_DS_03,35,BEVE_WATE_05,Beverages,180,10.7,8.03,1.01,3.44,69,18.2,3.81,25.72,541,255,23597.13,Destination projected to breach safety stock within 18.2h (DoC: 1.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.0d). Distance is 3.8km within configured limit.
37,1,4,BEN_DS_04,10,BEN_DS_10,290,PET _PET _20,Pet Care,8,5.31,3.38,0.56,2.05,69,10.1,1.13,21.7,14,11,1921.6,Destination projected to breach safety stock within 10.1h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 1.1km within configured limit.
38,1,1,BEN_DS_01,10,BEN_DS_10,273,PET _PET _03,Pet Care,8,19.05,16.81,0.44,2.22,69,7.9,2.42,23.63,60,10,2051.12,Destination projected to breach safety stock within 7.9h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 16.8d). Distance is 2.4km within configured limit.
39,2,20,DEL_DS_10,19,DEL_DS_09,162,STAP_RICE_12,Staples,108,16.34,12.78,0.53,3.23,68,9.5,2.12,23.18,388,129,14801.6,Destination projected to breach safety stock within 9.5h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.8d). Distance is 2.1km within configured limit.
40,4,38,HYD_DS_08,39,HYD_DS_09,127,FRUI_EXOT_07,Fruits & Vegetables,144,8.49,4.79,0.49,3.12,68,8.8,1.62,22.43,186,171,12866.7,Destination projected to breach safety stock within 8.8h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 1.6km within configured limit.
41,3,30,MUM_DS_10,26,MUM_DS_06,218,HOUS_CLEA_08,Household,12,13.19,9.89,0.53,2.66,68,9.5,2.99,24.48,36,15,870.24,Destination projected to breach safety stock within 9.5h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 9.9d). Distance is 3.0km within configured limit.
42,2,16,DEL_DS_06,14,DEL_DS_04,156,STAP_ATTA_06,Staples,96,12.48,9.61,0.61,3.52,66,11.0,7.3,30.96,322,116,22595.1,Destination projected to breach safety stock within 11.0h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 9.6d). Distance is 7.3km within configured limit.
43,4,34,HYD_DS_04,38,HYD_DS_08,49,BEVE_ENER_19,Beverages,168,7.24,4.58,0.71,3.42,66,12.8,1.26,21.89,290,212,5245.2,Destination projected to breach safety stock within 12.8h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.6d). Distance is 1.3km within configured limit.
44,3,23,MUM_DS_03,21,MUM_DS_01,32,BEVE_COLD_02,Beverages,152,4.33,2.81,0.8,2.18,65,14.4,8.81,33.21,283,240,15466.0,Destination projected to breach safety stock within 14.4h (DoC: 0.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.8d). Distance is 8.8km within configured limit.
45,1,4,BEN_DS_04,10,BEN_DS_10,137,FRUI_EXOT_17,Fruits & Vegetables,204,5.51,3.02,0.54,2.57,65,9.7,1.13,21.7,248,258,5123.49,Destination projected to breach safety stock within 9.7h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 1.1km within configured limit.
46,3,24,MUM_DS_04,23,MUM_DS_03,216,HOUS_DETE_06,Household,24,8.95,5.93,0.53,2.64,65,9.5,0.92,21.38,47,30,4789.98,Destination projected to breach safety stock within 9.5h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.9d). Distance is 0.9km within configured limit.
47,2,16,DEL_DS_06,14,DEL_DS_04,221,HOUS_DETE_11,Household,16,9.6,7.41,0.59,2.95,65,10.6,7.3,30.96,54,20,2934.4,Destination projected to breach safety stock within 10.6h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.4d). Distance is 7.3km within configured limit.
48,2,16,DEL_DS_06,14,DEL_DS_04,274,PET _PET _04,Pet Care,24,14.96,12.66,0.53,3.1,64,9.5,7.3,30.96,132,29,4144.47,Destination projected to breach safety stock within 9.5h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.7d). Distance is 7.3km within configured limit.
49,3,26,MUM_DS_06,23,MUM_DS_03,73,SNAC_NAMK_13,Snacks,264,10.18,7.32,0.58,3.45,63,10.4,3.81,25.72,673,317,16951.92,Destination projected to breach safety stock within 10.4h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.3d). Distance is 3.8km within configured limit.
50,1,8,BEN_DS_08,9,BEN_DS_09,75,SNAC_NUTS_15,Snacks,96,11.26,8.37,0.96,3.26,63,17.3,2.21,23.31,278,136,7216.44,Destination projected to breach safety stock within 17.3h (DoC: 1.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.4d). Distance is 2.2km within configured limit.
51,3,29,MUM_DS_09,21,MUM_DS_01,116,PACK_NOOD_26,Packaged Foods,48,4.07,2.94,0.54,1.71,63,9.7,7.23,30.85,124,70,4174.08,Destination projected to breach safety stock within 9.7h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 7.2km within configured limit.
52,3,26,MUM_DS_06,23,MUM_DS_03,61,SNAC_CHIP_01,Snacks,216,10.98,8.23,0.77,3.44,63,13.9,3.81,25.72,648,278,3666.06,Destination projected to breach safety stock within 13.9h (DoC: 0.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.2d). Distance is 3.8km within configured limit.
53,2,15,DEL_DS_05,16,DEL_DS_06,135,FRUI_CUT _15,Fruits & Vegetables,216,7.59,3.26,0.63,3.5,62,11.3,4.65,26.98,163,263,16915.02,Destination projected to breach safety stock within 11.3h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 4.7km within configured limit.
54,3,24,MUM_DS_04,22,MUM_DS_02,139,FRUI_SEAS_19,Fruits & Vegetables,272,10.9,6.6,0.65,3.49,62,11.7,6.53,29.79,418,334,15849.6,Destination projected to breach safety stock within 11.7h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.6d). Distance is 6.5km within configured limit.
55,2,13,DEL_DS_03,14,DEL_DS_04,11,DAIR_MILK_11,Dairy,152,12.86,9.32,1.21,3.5,61,21.8,9.45,34.17,400,232,28584.36,Destination projected to breach safety stock within 21.8h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 9.3d). Distance is 9.4km within configured limit.
56,3,27,MUM_DS_07,29,MUM_DS_09,29,DAIR_CHEE_29,Dairy,80,5.32,3.02,0.45,2.03,61,8.1,16.7,45.05,105,103,18356.0,Destination projected to breach safety stock within 8.1h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 16.7km within configured limit.
57,3,24,MUM_DS_04,23,MUM_DS_03,51,BEVE_JUIC_21,Beverages,152,8.26,4.22,0.55,3.45,61,9.9,0.92,21.38,159,181,8662.5,Destination projected to breach safety stock within 9.9h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.2d). Distance is 0.9km within configured limit.
58,1,4,BEN_DS_04,10,BEN_DS_10,136,FRUI_FRES_16,Fruits & Vegetables,36,4.1,3.04,0.38,1.35,61,6.8,1.13,21.7,103,50,3765.96,Destination projected to breach safety stock within 6.8h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 1.1km within configured limit.
59,1,4,BEN_DS_04,1,BEN_DS_01,66,SNAC_CHIP_06,Snacks,160,5.45,2.86,0.4,2.89,61,7.2,1.33,22.0,177,186,5921.1,Destination projected to breach safety stock within 7.2h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 1.3km within configured limit.
60,4,34,HYD_DS_04,38,HYD_DS_08,272,PET _CAT _02,Pet Care,12,14.01,11.42,1.08,3.66,61,19.4,1.26,21.89,53,17,5693.4,Destination projected to breach safety stock within 19.4h (DoC: 1.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 11.4d). Distance is 1.3km within configured limit.
61,1,10,BEN_DS_10,4,BEN_DS_04,250,BABY_BABY_10,Baby Care,48,14.35,12.47,1.37,3.19,61,24.7,1.13,21.7,317,84,9795.36,Destination projected to breach safety stock within 24.7h (DoC: 1.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.5d). Distance is 1.1km within configured limit.
62,3,25,MUM_DS_05,29,MUM_DS_09,51,BEVE_JUIC_21,Beverages,156,6.84,3.51,0.61,3.49,60,11.0,4.46,26.69,164,189,8992.5,Destination projected to breach safety stock within 11.0h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.5km within configured limit.
63,3,29,MUM_DS_09,21,MUM_DS_01,289,PET _PET _19,Pet Care,24,7.09,4.79,0.67,3.33,60,12.1,7.23,30.85,50,30,8623.08,Destination projected to breach safety stock within 12.1h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 7.2km within configured limit.
64,3,27,MUM_DS_07,28,MUM_DS_08,266,BABY_BABY_26,Baby Care,24,5.49,3.88,0.6,2.05,60,10.8,1.68,22.52,58,34,2547.12,Destination projected to breach safety stock within 10.8h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.9d). Distance is 1.7km within configured limit.
65,2,13,DEL_DS_03,19,DEL_DS_09,36,BEVE_JUIC_06,Beverages,72,4.95,2.99,0.91,2.28,59,16.4,1.71,22.57,110,120,7008.48,Destination projected to breach safety stock within 16.4h (DoC: 0.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 1.7km within configured limit.
66,1,2,BEN_DS_02,3,BEN_DS_03,173,STAP_DALS_23,Staples,48,5.49,3.26,0.83,3.16,59,14.9,4.77,27.16,70,65,2900.52,Destination projected to breach safety stock within 14.9h (DoC: 0.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 4.8km within configured limit.
67,1,9,BEN_DS_09,4,BEN_DS_04,198,PERS_ORAL_18,Personal Care,24,5.4,3.2,0.52,2.62,59,9.4,3.22,24.82,35,30,1191.86,Destination projected to breach safety stock within 9.4h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 3.2km within configured limit.
68,2,16,DEL_DS_06,14,DEL_DS_04,39,BEVE_ENER_09,Beverages,48,4.1,3.2,1.64,2.42,58,29.5,7.3,30.96,171,148,4583.52,Destination projected to breach safety stock within 29.5h (DoC: 1.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 7.3km within configured limit.
69,3,28,MUM_DS_08,21,MUM_DS_01,187,PERS_HAIR_07,Personal Care,12,8.55,6.36,0.7,2.38,57,12.6,8.05,32.08,35,17,4094.52,Destination projected to breach safety stock within 12.6h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.4d). Distance is 8.1km within configured limit.
70,1,2,BEN_DS_02,3,BEN_DS_03,256,BABY_BABY_16,Baby Care,72,8.0,5.82,1.23,3.25,56,22.1,4.77,27.16,192,116,31815.36,Destination projected to breach safety stock within 22.1h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.8d). Distance is 4.8km within configured limit.
71,1,6,BEN_DS_06,9,BEN_DS_09,129,FRUI_SEAS_09,Fruits & Vegetables,72,5.43,3.13,0.6,2.4,56,10.8,2.25,23.37,98,96,5292.72,Destination projected to breach safety stock within 10.8h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 2.2km within configured limit.
72,3,28,MUM_DS_08,21,MUM_DS_01,121,FRUI_FRES_01,Fruits & Vegetables,192,8.19,5.05,0.7,3.41,56,12.6,8.05,32.08,309,242,3807.02,Destination projected to breach safety stock within 12.6h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.0d). Distance is 8.1km within configured limit.
73,3,23,MUM_DS_03,25,MUM_DS_05,121,FRUI_FRES_01,Fruits & Vegetables,160,7.53,5.41,1.52,3.44,56,27.4,11.98,37.97,409,287,4289.6,Destination projected to breach safety stock within 27.4h (DoC: 1.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.4d). Distance is 12.0km within configured limit.
74,3,24,MUM_DS_04,23,MUM_DS_03,250,BABY_BABY_10,Baby Care,72,12.41,8.61,0.86,3.43,54,15.5,0.92,21.38,163,96,11427.92,Destination projected to breach safety stock within 15.5h (DoC: 0.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.6d). Distance is 0.9km within configured limit.
75,4,37,HYD_DS_07,40,HYD_DS_10,214,HOUS_DISP_04,Household,24,13.0,10.0,0.83,3.04,54,14.9,6.03,29.05,80,33,4760.14,Destination projected to breach safety stock within 14.9h (DoC: 0.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 10.0d). Distance is 6.0km within configured limit.
76,1,8,BEN_DS_08,2,BEN_DS_02,199,PERS_SKIN_19,Personal Care,8,23.38,21.71,0.96,2.5,54,17.3,6.72,30.08,104,13,2012.16,Destination projected to breach safety stock within 17.3h (DoC: 1.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 21.7d). Distance is 6.7km within configured limit.
77,1,5,BEN_DS_05,7,BEN_DS_07,73,SNAC_NAMK_13,Snacks,96,4.75,3.43,1.66,2.61,54,29.9,3.79,25.68,249,263,8844.48,Destination projected to breach safety stock within 29.9h (DoC: 1.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 3.8km within configured limit.
78,2,12,DEL_DS_02,16,DEL_DS_06,219,HOUS_DISP_09,Household,24,9.44,7.49,0.71,2.42,53,12.8,5.1,27.65,92,34,5911.2,Destination projected to breach safety stock within 12.8h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.5d). Distance is 5.1km within configured limit.
79,2,11,DEL_DS_01,12,DEL_DS_02,273,PET _PET _03,Pet Care,8,12.32,10.08,1.04,2.71,53,18.7,1.24,21.85,36,13,2051.12,Destination projected to breach safety stock within 18.7h (DoC: 1.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 10.1d). Distance is 1.2km within configured limit.
80,4,38,HYD_DS_08,40,HYD_DS_10,141,FRUI_FRES_21,Fruits & Vegetables,176,10.22,6.3,0.55,3.46,53,9.9,6.81,30.22,283,209,2358.29,Destination projected to breach safety stock within 9.9h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.3d). Distance is 6.8km within configured limit.
81,3,28,MUM_DS_08,27,MUM_DS_07,114,PACK_BREA_24,Packaged Foods,48,5.14,3.3,1.59,3.37,52,28.6,1.68,22.52,86,91,2813.76,Destination projected to breach safety stock within 28.6h (DoC: 1.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 1.7km within configured limit.
82,4,37,HYD_DS_07,40,HYD_DS_10,290,PET _PET _20,Pet Care,8,8.63,6.25,0.85,2.55,51,15.3,6.03,29.05,21,12,1921.6,Destination projected to breach safety stock within 15.3h (DoC: 0.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.2d). Distance is 6.0km within configured limit.
83,2,11,DEL_DS_01,17,DEL_DS_07,10,DAIR_PANE_10,Dairy,104,5.08,2.97,0.5,2.22,50,9.0,6.55,29.83,146,134,10836.8,Destination projected to breach safety stock within 9.0h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 6.6km within configured limit.
84,1,8,BEN_DS_08,3,BEN_DS_03,27,DAIR_CURD_27,Dairy,156,10.66,8.17,0.88,3.46,50,15.8,9.38,34.06,511,209,12502.93,Destination projected to breach safety stock within 15.8h (DoC: 0.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.2d). Distance is 9.4km within configured limit.
