date_key,date,year,month,week,day_of_week,day_name,is_weekend,holiday_flag,event_flag,month_name
20260511,2026-05-11,2026,5,20,1,Monday,False,False,False,May
20260512,2026-05-12,2026,5,20,2,Tuesday,False,False,False,May
20260513,2026-05-13,2026,5,20,3,Wednesday,False,False,False,May
20260514,2026-05-14,2026,5,20,4,Thursday,False,False,False,May
20260515,2026-05-15,2026,5,20,5,Friday,False,False,False,May
20260516,2026-05-16,2026,5,20,6,Saturday,True,False,False,May
20260517,2026-05-17,2026,5,20,7,Sunday,True,False,False,May
20260518,2026-05-18,2026,5,21,1,Monday,False,False,False,May
20260519,2026-05-19,2026,5,21,2,Tuesday,False,False,False,May
20260520,2026-05-20,2026,5,21,3,Wednesday,False,False,False,May
20260521,2026-05-21,2026,5,21,4,Thursday,False,False,False,May
20260522,2026-05-22,2026,5,21,5,Friday,False,False,False,May
20260523,2026-05-23,2026,5,21,6,Saturday,True,False,False,May
20260524,2026-05-24,2026,5,21,7,Sunday,True,False,False,May
20260525,2026-05-25,2026,5,22,1,Monday,False,False,False,May
20260526,2026-05-26,2026,5,22,2,Tuesday,False,False,False,May
20260527,2026-05-27,2026,5,22,3,Wednesday,False,False,False,May
20260528,2026-05-28,2026,5,22,4,Thursday,False,False,False,May
20260529,2026-05-29,2026,5,22,5,Friday,False,False,False,May
20260530,2026-05-30,2026,5,22,6,Saturday,True,False,False,May
20260531,2026-05-31,2026,5,22,7,Sunday,True,False,False,May
20260601,2026-06-01,2026,6,23,1,Monday,False,False,False,June
20260602,2026-06-02,2026,6,23,2,Tuesday,False,False,False,June
20260603,2026-06-03,2026,6,23,3,Wednesday,False,False,False,June
20260604,2026-06-04,2026,6,23,4,Thursday,False,False,False,June
20260605,2026-06-05,2026,6,23,5,Friday,False,False,True,June
20260606,2026-06-06,2026,6,23,6,Saturday,True,False,True,June
20260607,2026-06-07,2026,6,23,7,Sunday,True,False,True,June
20260608,2026-06-08,2026,6,24,1,Monday,False,False,True,June
20260609,2026-06-09,2026,6,24,2,Tuesday,False,False,True,June
20260610,2026-06-10,2026,6,24,3,Wednesday,False,False,False,June
20260611,2026-06-11,2026,6,24,4,Thursday,False,False,False,June
20260612,2026-06-12,2026,6,24,5,Friday,False,False,False,June
20260613,2026-06-13,2026,6,24,6,Saturday,True,False,False,June
20260614,2026-06-14,2026,6,24,7,Sunday,True,False,False,June
20260615,2026-06-15,2026,6,25,1,Monday,False,False,False,June
20260616,2026-06-16,2026,6,25,2,Tuesday,False,False,False,June
20260617,2026-06-17,2026,6,25,3,Wednesday,False,False,False,June
20260618,2026-06-18,2026,6,25,4,Thursday,False,False,False,June
20260619,2026-06-19,2026,6,25,5,Friday,False,False,False,June
20260620,2026-06-20,2026,6,25,6,Saturday,True,False,False,June
20260621,2026-06-21,2026,6,25,7,Sunday,True,False,False,June
20260622,2026-06-22,2026,6,26,1,Monday,False,False,False,June
20260623,2026-06-23,2026,6,26,2,Tuesday,False,False,False,June
20260624,2026-06-24,2026,6,26,3,Wednesday,False,False,False,June
20260625,2026-06-25,2026,6,26,4,Thursday,False,False,False,June
20260626,2026-06-26,2026,6,26,5,Friday,False,False,False,June
20260627,2026-06-27,2026,6,26,6,Saturday,True,False,False,June
20260628,2026-06-28,2026,6,26,7,Sunday,True,False,False,June
20260629,2026-06-29,2026,6,27,1,Monday,False,False,False,June
